REFSIGPAC,IDUSO25,SUPERFICIE_m2,mean_result,n_cells
2320301424001,TA,1191.73,0.0,1
2320301640001,TA,8278.69,0.0,15
2320301642001,TA,1807.58,0.0,4
2320301652001,TA,1499.41,0.0,3
2320301653001,TA,2477.09,0.0,5
2320301654001,TA,3094.14,0.0,6
2320301655001,TA,29804.77,0.0,49
2320301656001,TA,17126.0,0.0,28
2320301658001,TA,1716.56,0.0,3
2320301659001,TA,2857.12,0.0,6
2320301660001,TA,2121.68,0.0,2
2320301661001,TA,6557.96,0.0,10
2320301663001,TA,3005.51,0.0,5
2320301664001,TA,2743.78,0.0,3
2320301665001,TA,14959.87,0.0,27
2320301666001,TA,29731.44,0.0,47
2320301667001,TA,520.9,0.0,1
2320301668001,TA,6629.86,0.0,12
2320301669001,TA,1501.11,0.0,2
2320301670001,TA,1076.97,0.0,3
2320301671001,TA,1041.53,0.0,2
2320301672001,TA,1189.91,0.0,2
2320301673001,TA,870.16,0.0,1
2320301675001,TA,4478.87,0.0,7
2320301676001,TA,2422.26,0.0,4
2320301677001,TA,438.52,0.0,1
2320301678001,TA,5253.28,0.0,8
2320301679001,TA,14603.67,0.0,23
2320301680001,TA,3311.35,0.0,7
2320301681001,TA,3016.75,0.0,4
2320301682001,TA,3237.26,0.0,7
2320301683001,TA,8227.88,0.0,11
2320301685001,TA,3168.72,0.0,6
2320301687001,TA,6528.8,0.0,11
2320301688001,TA,5752.31,0.0,9
2320301694001,TA,8121.44,0.0,13
2320301695001,TA,2883.46,0.0,4
2320301696001,TA,14816.75,0.0,23
2320301697001,TA,550.74,0.0,1
2320301698001,TA,1540.26,0.0,4
2320301700001,TA,724.46,0.0,1
2320301701001,TA,5441.9,0.0,10
2320301702001,TA,8401.4,0.0,12
2320301705001,TA,1200.5,0.0,1
2320301706001,TA,558.45,0.0,1
2320301708001,TA,3894.17,0.0,6
2320301709001,TA,1458.9,0.0,2
2320301710001,TA,787.64,0.0,2
2320301712001,TA,855.87,0.0,2
2320301713001,TA,2643.21,0.0,4
2320301714001,TA,2317.5,0.0,4
2320301716001,TA,6014.26,0.0,10
2320301718001,TA,3518.72,0.0,6
2320301719001,TA,932.71,0.0,1
2320301722001,TA,9663.54,0.0,16
2320301723001,TA,5615.0,0.0,9
2320301724001,TA,8232.09,0.0,13
2320301726001,TA,3010.96,0.0,5
2320301727001,TA,13262.81,0.0,22
2320301729001,TA,7494.23,0.0,12
2320301729002,TA,6206.1,0.0,9
2320301729003,TA,4492.32,0.0,7
2320301736001,TA,2612.62,0.0,4
2320301737001,TA,3510.55,0.0,6
2320301739001,TA,3040.55,0.0,5
2320301741001,TA,430.65,0.0,1
2320301743001,TA,912.54,0.0,1
2320301744001,TA,756.91,0.0,2
2320301750001,TA,5618.45,0.0,9
2320301751001,TA,1077.85,0.0,1
2320301752001,TA,2505.41,0.0,6
2320301753001,TA,6230.29,0.0,10
2320301754001,TA,10552.75,0.0,17
2320301755001,TA,835.47,0.0,1
2320301756001,TA,1138.51,0.0,3
2320301757001,TA,3403.75,0.0,6
2320301760001,TA,2952.11,0.0,6
2320301767001,TA,2155.25,0.0,3
2320301768001,TA,7262.72,0.0,11
2320301771001,TA,8258.47,0.0,12
2320301772001,TA,8246.02,0.0,12
2320301786001,TA,1656.3,0.0,3
2320301790001,TA,498.23,0.0,1
2320301805001,TA,18349.53,0.0,35
2320301805003,TA,9280.25,0.0,14
2320301805005,TA,14432.27,0.0,25
2320301805006,TA,16395.64,0.0,29
2320301805008,TA,16290.98,0.0,27
2320301805009,TA,12494.05,0.0,19
2320301806001,TA,11925.15,0.0,18
2320301807001,TA,2314.65,0.0,4
2320301828001,TA,1764.24,0.0,3
2320301829001,TA,1737.81,0.0,3
2320301830001,TA,1286.46,0.0,2
2320301833001,TA,437.19,0.0,1
2320301855001,TA,5611.33,0.0,9
2320301855002,TA,4891.78,0.0,7
2320301855003,TA,6633.43,0.0,12
2320302399001,TA,1170.02,0.0,1
2320400118001,TA,4542.69,0.0,9
2320400119001,TA,9717.45,0.0,16
2320400120001,TA,3176.81,0.0,5
2320400121001,TA,2938.78,0.0,5
2320400122001,TA,3348.01,0.0,6
2320400123001,TA,3310.76,0.0,4
2320400124001,TA,8516.93,0.0,16
2320400125001,TA,5541.81,0.0,8
2320400126001,TA,4320.46,0.0,7
2320400127001,TA,3692.56,0.0,5
2320400128001,TA,9312.5,0.0,17
2320400129001,TA,7812.81,0.0,13
2320400130001,TA,10655.07,0.0,20
2320400131001,TA,5093.7,0.0,8
2320400131003,TA,1848.1,0.0,3
2320400132001,TA,3530.5,0.0,6
2320400200001,TA,794.81,0.0,2
2320400201001,TA,7143.86,0.0,12
2320400204001,TA,1756.57,0.0,3
2320400206001,TA,7156.66,0.0,10
2320400208001,TA,3685.91,0.0,6
2320400209001,TA,4834.36,0.0,7
2320400211001,TA,4977.75,0.0,7
2320400212001,TA,6067.06,0.0,9
2320400214001,TA,8685.25,0.0,15
2320400215001,TA,4566.42,0.0,6
2320400216001,TA,3387.25,0.0,7
2320400217001,TA,5242.98,0.0,11
2320400218001,TA,3294.56,0.0,4
2320400220001,TA,5244.65,0.0,8
2320400221001,TA,1109.24,0.0,1
2320400222001,TA,11082.11,0.0,17
2320400223001,TA,16937.7,0.0,28
2320400224001,TA,4079.8,0.0,5
2320400225001,TA,2932.06,0.0,4
2320400226001,TA,3389.72,0.0,5
2320400227001,TA,1566.62,0.0,2
2320400228001,TA,3565.53,0.0,7
2320400229001,TA,5503.9,0.0,8
2320400230001,TA,2771.93,0.0,4
2320400233001,TA,10838.4,0.0,18
2320400234001,TA,3219.54,0.0,4
2320400235001,TA,1451.53,0.0,5
2320400236002,TA,351.45,0.0,1
2320400237001,TA,4901.95,0.0,5
2320400238001,TA,4669.17,0.0,7
2320400239001,TA,9007.75,0.0,16
2320400240001,TA,6610.8,0.0,10
2320400243002,TA,2130.24,0.0,3
2320400244002,TA,2504.27,0.0,5
2320400245001,TA,4750.01,0.0,7
2320400247001,TA,1326.47,0.0,4
2320400260001,TA,3527.51,0.0,6
2320400263001,TA,1759.43,0.0,3
2320400264001,TA,2883.68,0.0,5
2320400265001,TA,540.0,0.0,1
2320400363001,TA,2858.33,0.0,4
2320400441001,TA,2613.65,0.0,4
2320501503001,TA,4481.09,0.0,8
2320501504001,TA,1662.84,0.0,2
2320501506001,TA,3653.6,0.0,4
2320501507001,TA,882.87,0.0,2
2320501508001,TA,1566.42,0.0,2
2320501512001,TA,5997.96,0.0,10
2320501514001,TA,702.8,0.0,1
2320501515001,TA,4465.45,0.0,7
2320501516001,TA,1408.32,0.0,1
2320501517001,TA,3491.69,0.0,6
2320501518001,TA,7040.78,0.0,10
2320501519001,TA,739.76,0.0,2
2320501520001,TA,6553.49,0.0,11
2320501521001,TA,4569.48,0.0,7
2320501522001,TA,24360.7,0.0,40
2320501523001,TA,1514.93,0.0,1
2320501524001,TA,4975.32,0.0,9
2320501526001,TA,4986.99,0.0,8
2320501526003,TA,952.08,0.0,1
2320501527001,TA,3228.01,0.0,6
2320501528001,TA,3505.44,0.0,5
2320501529001,TA,13395.35,0.0,22
2320501529003,TA,1142.03,0.0,2
2320501530001,TA,2583.62,0.0,4
2320501533001,TA,2832.61,0.0,6
2320501534001,TA,2441.97,0.0,4
2320501535001,TA,5288.59,0.0,9
2320501536001,TA,2710.95,0.0,5
2320501537001,TA,1025.43,0.0,1
2320501539001,TA,6890.67,0.0,12
2320501540001,TA,3660.78,0.0,5
2320501543001,TA,20693.44,0.0,33
2320501543003,TA,3557.31,0.0,7
2320501545001,TA,1022.27,0.0,3
2320501546001,TA,1169.42,0.0,2
2320501547001,TA,7546.85,0.0,11
2320501548001,TA,698.37,0.0,1
2320501549001,TA,3372.19,0.0,6
2320501550002,TA,1765.61,0.0,3
2320501556001,TA,2808.57,0.0,5
2320501557001,TA,2745.35,0.0,4
2320501561001,TA,1570.36,0.0,4
2320501562001,TA,1112.37,0.0,3
2320501666001,TA,1737.37,0.0,3
2320501737001,TA,9891.59,0.0,16
2320800003001,TA,9157.33,0.0,14
2320800004001,TA,3688.35,0.0,7
2320800005001,TA,16654.75,0.0,25
2320800009001,TA,28540.48,0.0,43
2320800012001,TA,30840.45,0.0,52
2320800013002,TA,602.37,0.0,1
2320800025001,TA,4758.47,0.0,9
2320800026001,TA,7359.12,0.0,10
2320800027001,TA,3084.16,0.0,6
2320800028001,TA,3781.43,0.0,6
2320800029001,TA,3361.54,0.0,4
2320800030001,TA,1903.31,0.0,3
2320800032001,TA,928.4,0.0,1
2320800033001,TA,1161.99,0.0,2
2320800035001,TA,1047.91,0.0,1
2320800036001,TA,849.41,0.0,1
2320800037001,TA,1934.87,0.0,4
2320800038001,TA,6940.62,0.0,10
2320800039001,TA,3983.61,0.0,6
2320800040001,TA,1145.44,0.0,2
2320800041001,TA,699.5,0.0,1
2320800042001,TA,3183.94,0.0,6
2320800043001,TA,2580.0,0.0,4
2320800044001,TA,3540.57,0.0,6
2320800045001,TA,976.01,0.0,1
2320800047001,TA,2704.98,0.0,4
2320800048001,TA,4743.38,0.0,8
2320800049001,TA,9185.02,0.0,17
2320800050001,TA,4531.09,0.0,7
2320800051001,TA,228.6,0.0,1
2320800052001,TA,885.38,0.0,1
2320800053001,TA,1162.71,0.0,2
2320800054001,TA,2043.81,0.0,2
2320800056001,TA,2716.45,0.0,8
2320800057001,TA,3505.37,0.0,4
2320800057003,TA,743.38,0.0,1
2320800058001,TA,3422.62,0.0,5
2320800059001,TA,5031.76,0.0,8
2320800065001,TA,8016.06,0.0,13
2320800066001,TA,4048.31,0.0,7
2320800068001,TA,1115.51,0.0,2
2320800069001,TA,11392.39,0.0,17
2320800070001,TA,4395.26,0.0,7
2320800071001,TA,5701.34,0.0,10
2320800072001,TA,1715.63,0.0,3
2320800073001,TA,5457.36,0.0,8
2320800074001,TA,4197.61,0.0,8
2320800075001,TA,4135.55,0.0,4
2320800076001,TA,3887.72,0.0,7
2320800077001,TA,5808.6,0.0,8
2320800078001,TA,1693.47,0.0,3
2320800079001,TA,3347.74,0.0,6
2320800080001,TA,4733.45,0.0,7
2320800081001,TA,4119.15,0.0,9
2320800083001,TA,2315.85,0.0,2
2320800084001,TA,3229.8,0.0,6
2320800085001,TA,7964.3,0.0,12
2320800086001,TA,3286.62,0.0,5
2320800087001,TA,3228.26,0.0,5
2320800088001,TA,2561.66,0.0,5
2320800089001,TA,3893.93,0.0,6
2320800090001,TA,2424.68,0.0,4
2320800091001,TA,1793.38,0.0,3
2320800094001,TA,1150.48,0.0,2
2320800095001,TA,2510.42,0.0,3
2320800096001,TA,1375.17,0.0,1
2320800097001,TA,774.42,0.0,2
2320800099001,TA,1110.52,0.0,2
2320800101001,TA,10429.59,0.0,16
2320800102001,TA,2402.34,0.0,3
2320800103001,TA,1549.91,0.0,3
2320800104001,TA,4060.15,0.0,6
2320800105001,TA,7973.92,0.0,13
2320800106001,TA,6875.12,0.0,11
2320800107001,TA,3540.89,0.0,7
2320800108001,TA,3313.76,0.0,6
2320800110001,TA,4448.06,0.0,7
2320800111001,TA,15498.42,0.0,26
2320800112001,TA,1704.14,0.0,2
2320800113001,TA,2005.73,0.0,4
2320800114001,TA,4129.46,0.0,7
2320800115001,TA,2836.45,0.0,5
2320800116001,TA,3722.35,0.0,6
2320800117001,TA,2993.76,0.0,5
2320800118001,TA,1723.86,0.0,3
2320800119001,TA,22871.47,0.0,38
2320800120001,TA,3205.44,0.0,5
2320800121001,TA,3089.23,0.0,5
